id,species
1,Acer_Opalus
2,Pterocarya_Stenoptera
3,Quercus_Hartwissiana
5,Tilia_Tomentosa
6,Quercus_Variabilis
8,Magnolia_Salicifolia
10,Quercus_Canariensis
11,Quercus_Rubra
14,Quercus_Brantii
15,Salix_Fragilis
17,Zelkova_Serrata
18,Betula_Austrosinensis
20,Quercus_Pontica
21,Quercus_Afares
22,Quercus_Coccifera
25,Fagus_Sylvatica
26,Phildelphus
27,Acer_Palmatum
29,Quercus_Pubescens
30,Populus_Adenopoda
31,Quercus_Trojana
32,Quercus_Variabilis
34,Alnus_Sieboldiana
35,Quercus_Ilex
37,Arundinaria_Simonii
38,Acer_Platanoids
40,Quercus_Phillyraeoides
42,Cornus_Chinensis
43,Quercus_Phillyraeoides
45,Fagus_Sylvatica
48,Liriodendron_Tulipifera
49,Cytisus_Battandieri
50,Tilia_Tomentosa
54,Rhododendron_x_Russellianum
55,Alnus_Rubra
56,Eucalyptus_Glaucescens
58,Cercis_Siliquastrum
60,Cotinus_Coggygria
61,Celtis_Koraiensis
63,Quercus_Crassifolia
64,Quercus_Variabilis
66,Quercus_Hartwissiana
67,Quercus_Kewensis
69,Quercus_Coccifera
71,Cornus_Controversa
72,Quercus_Pyrenaica
73,Callicarpa_Bodinieri
75,Quercus_Alnifolia
76,Quercus_Canariensis
78,Acer_Saccharinum
80,Prunus_X_Shmittii
81,Prunus_Avium
82,Quercus_Greggii
83,Quercus_Suber
84,Quercus_Trojana
85,Liriodendron_Tulipifera
87,Quercus_Coccifera
88,Cercis_Siliquastrum
92,Quercus_Suber
100,Celtis_Koraiensis
101,Quercus_Dolicholepis
103,Rhododendron_x_Russellianum
106,Ilex_Cornuta
107,Tilia_Oliveri
108,Quercus_Semecarpifolia
109,Quercus_Texana
115,Celtis_Koraiensis
116,Ginkgo_Biloba
118,Acer_Palmatum
120,Quercus_Variabilis
122,Liriodendron_Tulipifera
124,Liquidambar_Styraciflua
127,Quercus_Phellos
129,Quercus_Crassifolia
130,Quercus_Palustris
132,Quercus_Phellos
133,Quercus_Alnifolia
134,Quercus_Afares
139,Quercus_Canariensis
140,Alnus_Maximowiczii
142,Quercus_Agrifolia
143,Callicarpa_Bodinieri
145,Prunus_Avium
146,Acer_Pictum
148,Acer_Rufinerve
149,Lithocarpus_Cleistocarpus
152,Viburnum_x_Rhytidophylloides
153,Celtis_Koraiensis
155,Ilex_Aquifolium
160,Acer_Circinatum
163,Quercus_Coccinea
164,Acer_Circinatum
165,Quercus_Cerris
166,Acer_Circinatum
167,Acer_Saccharinum
168,Quercus_Chrysolepis
169,Celtis_Koraiensis
171,Quercus_Semecarpifolia
173,Eucalyptus_Neglecta
175,Betula_Austrosinensis
178,Ginkgo_Biloba
179,Quercus_Canariensis
183,Tilia_Platyphyllos
186,Alnus_Cordata
188,Populus_Nigra
189,Quercus_Coccinea
190,Quercus_Variabilis
194,Quercus_Pyrenaica
196,Arundinaria_Simonii
198,Alnus_Cordata
199,Arundinaria_Simonii
201,Acer_Capillipes
202,Quercus_Kewensis
203,Acer_Palmatum
204,Quercus_Agrifolia
206,Quercus_Agrifolia
