id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,2.3074763929575746e-10,1.7351706015150814e-11,2.1502283760769148e-13,1.4183231546536042e-12,1.7988996150821973e-10,3.855145792851006e-10,1.143172769250195e-16,9.27522661064429e-14,1.4847907188751242e-09,2.513960252518513e-09,1.8669738381746663e-07,5.688520511467833e-12,1.2799931938353567e-11,9.57992016479424e-11,4.5036169288733155e-08,2.945402035322064e-11,3.9476381444076867e-07,2.738902623188509e-15,1.2132948822206005e-10,2.5288230122550704e-12,1.0636286499073229e-09,1.1085070697198452e-08,9.251256826712097e-11,6.233452326335784e-13,4.835253608938672e-14,2.8317783913336687e-11,1.0129421536169393e-07,1.1056038892442578e-10,1.0609934371279082e-10,2.100465900608041e-12,5.515720129878207e-15,4.714318471075076e-06,1.9459001816339754e-06,7.38969406689164e-08,3.069714603190655e-11,3.3079770303917786e-09,2.9384480320642294e-12,1.2191438977775053e-13,7.23820718312821e-15,2.5670016297852176e-13,2.2619541479202353e-15,2.2680229940350687e-10,3.2945752926083453e-10,9.23466878415013e-15,2.845492060495549e-07,3.790324616717358e-13,0.0002455895348745916,7.510312250167229e-16,5.603346045418439e-12,6.182442873885724e-09,2.6735181356445658e-11,0.9988456890089252,1.676667118747332e-14,9.426187051114948e-10,1.0856159938109102e-08,2.0350212506294508e-07,1.5441095380492895e-05,2.4052459617216474e-14,2.8051839342754463e-15,4.654957160723861e-13,3.078384646743828e-13,9.152225118189342e-12,9.738355860229462e-12,5.736937928404218e-13,0.0003503601363164253,9.69823662562588e-10,3.975222969857245e-10,4.1410097591304625e-14,1.4173914571105982e-08,6.392467463529546e-12,7.2547543588018436e-12,4.738656862535641e-13,7.158091898333909e-10,2.1968678856578188e-14,0.0002819074035915698,9.971676294066565e-05,6.297583047278968e-16,8.241115027223277e-08,1.834904177119427e-05,3.793670528446636e-11,4.988212147363911e-11,9.813147637572116e-12,9.693912247924672e-13,0.00012271654650695794,3.376564341497419e-06,2.538128210937407e-16,1.0212086425852682e-16,2.85028254083656e-15,8.526172332965314e-06,1.4048569383281981e-15,2.748078649801369e-14,7.118780929609911e-11,1.2509129962596677e-12,1.1785175833942994e-09,3.2215967111136898e-12,1.1417001740239545e-13,1.1130089209705441e-14,2.3822806410727696e-07,8.063221931517822e-12
7,1.7576149835958688e-13,2.5332139773483296e-11,4.5694042231327245e-07,2.4194671580965808e-06,2.7768565278021465e-15,3.24388371073282e-14,1.1577726448832424e-06,1.0875417643353937e-12,1.3251796379711468e-13,6.072517272277773e-12,2.1266705571777473e-14,3.752418585845018e-14,5.5113075733554956e-12,1.9491243996772086e-13,4.5129931028583583e-13,1.7737523699097312e-13,8.231149114862774e-15,1.1593708291995606e-07,5.047561261166055e-13,2.895682769063012e-06,3.716303026028477e-14,1.441650846039335e-12,1.3720487431400736e-14,3.591187632207133e-12,4.756508719913256e-12,2.081522113927554e-12,4.079247535486695e-10,3.2088133307604933e-10,5.819531596173839e-13,9.885527384441525e-12,1.2996551040387792e-07,4.3487000625410506e-10,1.8309557885588333e-09,3.5366766774709757e-14,3.348092088281524e-07,1.5696590732736662e-17,0.004195532973921839,2.3163823499288208e-08,2.2089105493879687e-07,2.9255208973795653e-08,7.968547099087038e-07,2.8586624096984726e-08,1.0474780339940567e-06,2.436912484656075e-09,1.4285069371562354e-09,4.898330117141691e-05,4.449575384989233e-15,4.775637270283326e-07,2.992146983706173e-10,1.6284024680841553e-13,0.9949614298892873,3.3919898366081513e-14,8.60563559288715e-12,1.868138011953618e-11,3.242394902195255e-11,4.759799566960048e-09,1.56724700099518e-13,2.3078593994942743e-07,7.29123582627968e-08,2.3913674987625525e-09,5.5744312904900054e-11,1.608271496462304e-09,7.439990366824928e-13,8.91534342417169e-09,1.544453110361327e-12,1.0203845471297403e-13,9.865664367510028e-12,1.193516076580546e-07,1.202021773149941e-07,0.0003492029931511165,3.7985862363573903e-17,1.4014598002384374e-11,1.799512979354777e-12,2.2887979081145896e-09,3.5764007443349e-15,4.115903333907277e-12,2.385727649817377e-05,2.626046246570008e-14,8.276855137624034e-13,2.2233565572245886e-07,4.2694004190965473e-13,7.25953091884376e-08,1.2477242898916322e-06,1.1193221483877068e-09,2.750066361158484e-07,2.1939217032979767e-07,2.602473119191832e-09,0.0004057909769741902,8.293254360679797e-15,8.351752009914588e-10,4.182605088909201e-09,4.903537122986727e-13,1.5048342252706269e-15,4.5188771180614864e-17,1.0670508667715851e-07,1.3852990398036243e-10,2.2994496596021873e-06,2.29981294034243e-15,4.554722147352772e-08
9,9.31747006661243e-09,0.9999453982597486,8.812540109910922e-11,1.3465780072012273e-11,6.489051258321402e-06,4.276282701232705e-14,7.986204590448618e-14,5.3898065976307395e-08,8.298793533474764e-08,1.1392838638326333e-08,6.267686996426066e-10,1.8625776876811457e-07,7.49406828230228e-09,5.8161794281958774e-08,1.521254159284533e-06,1.2131737165727633e-11,2.8659374700253875e-05,2.0775369288786397e-12,5.452402477755665e-12,9.709936740714634e-09,7.575271193616158e-10,2.982574284351938e-11,4.950557364492669e-15,7.806455517827913e-13,6.964035189281766e-17,1.3452983185585273e-13,1.724655134740449e-05,3.4764096264219927e-16,7.910312764759846e-15,3.0694166319240936e-17,6.465916889747575e-16,2.012187156578664e-12,3.652443546812896e-11,3.242482963572483e-11,2.411069676315108e-15,9.033780733081439e-10,3.4709697064302554e-14,6.260889075886002e-14,1.3257150962171411e-14,6.347785815804186e-13,3.0657953282819277e-14,8.048210186964373e-10,1.489829539116052e-13,1.5658610529833333e-15,1.1011274629388583e-09,1.1988389964831673e-14,1.0834701620196726e-10,7.931095285708186e-12,1.0775646532040393e-08,5.05992541359565e-10,2.409304405156601e-12,2.130781672304092e-12,5.615837677850531e-12,1.653632984529164e-09,1.993271871218943e-11,4.712178633952461e-11,5.092358482912335e-09,1.3317849175899822e-14,2.4570149277269937e-14,6.456638779776463e-14,5.598472914536998e-14,7.916294519920966e-17,7.91518952450741e-13,1.7194604316736076e-12,1.1745601767432422e-07,2.0052644518458462e-10,4.004671752548763e-11,1.6420415104502712e-15,2.2546902371448634e-13,1.3287582015816504e-12,1.822607461788112e-14,2.4275282611591917e-13,6.417867973537249e-14,3.958372891333802e-09,1.983327483222431e-09,7.208198489164019e-09,1.09681545740145e-14,1.0908366181637235e-12,4.837368585972355e-12,9.37822944727074e-13,2.470431025054076e-13,1.813541114769375e-13,3.223562733357116e-14,1.4118659055684824e-08,1.7431072380163073e-09,1.0984510348944742e-08,1.847379114512407e-11,3.9025496487094076e-12,9.195858526221555e-11,1.555032789908639e-11,4.625365713773398e-15,1.0638649596154138e-10,9.76385207255159e-12,3.821310275744019e-11,4.6230313303019893e-10,5.524684869078214e-09,4.498615531026759e-13,1.5577531837901435e-12,7.967223048987744e-08
12,9.363565748624233e-09,0.00037794829232180594,4.922231811299708e-09,5.980222524212534e-07,2.4706872977415667e-10,8.744477448275506e-16,4.219681857061192e-06,0.0001376083400624724,3.528522952762574e-05,3.162057936139797e-10,7.051743257638316e-12,7.1406065502752875e-06,4.761913195934122e-06,2.71598699352761e-05,0.0004990824897412958,1.1361510743433798e-10,1.1806672260657324e-09,0.0003993837263849254,4.742164429470914e-11,0.9972015163778273,1.9811067169006674e-09,1.2203267726629726e-13,1.1316731107406195e-11,5.711521166389215e-13,3.6547093123914163e-13,2.978993071984791e-14,3.283024812954059e-05,2.4789749053753868e-14,1.1434430976774372e-14,4.731240324183042e-13,7.101858141898269e-11,1.1538738872409166e-12,3.1761598416104835e-09,2.2342053536035535e-13,6.669379061384236e-14,4.783808821652379e-12,1.0898215306701704e-05,1.0654543938606142e-09,8.629877612657213e-12,2.006982252644228e-12,4.727143498590017e-09,0.00015673232994265935,2.4549911199533718e-11,5.214513338460376e-11,2.6467018795497534e-08,1.7958476285913186e-08,1.0724223594483794e-12,0.0002568036467447609,1.056296516229036e-05,3.202839332659286e-07,3.525363024549144e-07,9.756649452499397e-15,1.7004347624658461e-10,9.254324184555134e-09,3.0888828846035404e-12,7.856334122357821e-10,1.888998907473762e-12,1.0624839043787997e-09,2.3642101940880178e-07,2.492421195776288e-10,1.7713763615545846e-10,5.381927761191078e-16,1.4595990240197752e-09,1.0648595355097247e-07,2.340656549072546e-11,3.6126253969312556e-08,2.884116896469513e-11,3.25931663852002e-11,2.0340636896534017e-10,2.1597526790851138e-08,2.998715191481406e-15,2.2291627833035055e-10,6.855404439049194e-14,5.430556639064395e-06,2.1680876134022301e-13,2.7089386516260812e-11,3.75812862250045e-09,4.263041894322279e-10,3.215648137844842e-12,1.761300115758446e-08,4.614721151273543e-09,1.2817331558111846e-10,4.1202887199463836e-06,3.679946122313627e-09,8.087409126559088e-12,0.00029455122391724504,9.442287052348238e-07,1.1032487148071272e-07,6.464477252685093e-13,3.9624128931685456e-07,2.1890258569186578e-11,2.6401911683076666e-07,8.98917719825872e-12,6.425567927434892e-10,0.00010533586783690616,0.0001726153049531642,5.973018205589576e-09,2.9873631509886146e-12,0.0002525042026065528
13,2.3545954654641185e-08,5.550509151064394e-09,2.982287809672e-12,5.2602731199066066e-11,5.3059339966069774e-08,8.798509988075519e-14,1.1687533113883573e-08,3.523554555698484e-09,3.6106600489990526e-05,1.2484637360496039e-08,2.920298596121406e-09,0.0005939238476735767,5.78692387598492e-07,1.2455141033328958e-05,0.9992542579962218,6.98564324634416e-11,3.5073558463711802e-06,3.67162871999336e-08,9.650962610032215e-09,4.063298829551295e-09,1.671506169142722e-07,1.2582756199311813e-13,1.2583293903584537e-10,1.6392564656778425e-12,7.376346018475312e-12,1.9635262980961978e-14,3.8864991176200706e-07,9.351147416096348e-13,4.156886650829371e-13,3.723165110710109e-14,3.2792307550088996e-13,2.188921547074428e-14,2.804202127666574e-11,7.6268234640646e-11,1.5233470264997809e-13,4.458284638365057e-08,6.269975702895096e-12,4.18262665102629e-12,4.169240371412179e-12,1.1800520806704004e-12,4.2009745426492636e-13,1.4115604508811219e-08,7.435310642816938e-13,1.3689924161680488e-11,1.3168141597121927e-08,5.458561745096111e-13,8.062994601858391e-11,3.711127264902215e-10,1.788206446491769e-06,3.212912922325161e-05,6.171226173931347e-13,9.756216432802017e-12,3.980401621835012e-10,1.203818856613821e-09,7.767099099407839e-10,7.714453770736503e-10,2.5490867396770397e-10,8.409943303408222e-13,2.6695889908489534e-12,1.702969130568557e-12,1.4260736041212576e-12,1.1355557360981064e-11,2.3995308358445717e-10,6.497821348174665e-09,2.0153402263886765e-09,1.1652704836926678e-10,2.4499852593593585e-13,3.276149343540591e-15,7.201666103705264e-12,4.497873238840477e-12,1.6278735493318518e-12,7.037290653865674e-10,2.228297569880669e-14,6.7500871093919995e-09,2.001055843806646e-09,3.0397091164093643e-09,1.9440398132499474e-11,4.927289114529447e-10,1.2592430184243409e-11,6.376677791567717e-09,7.447867656237097e-08,5.1958933269353796e-12,1.380337132977616e-10,6.133002185662248e-10,1.887503081867522e-11,1.7771362122642913e-09,6.805009110721321e-10,1.224622111202625e-13,7.385403857552283e-10,1.7642597166175392e-08,4.428336658558552e-12,5.086790034698123e-07,1.9968354806268239e-10,1.0690462402443079e-06,1.1804151357937665e-07,6.263181654159083e-05,2.0328057469681933e-10,9.516285494814714e-10,4.563661956146061e-09
16,8.617546143718291e-08,7.921502197476264e-09,4.106943013877416e-06,0.8526664404692784,7.785168621228605e-11,6.115452254186372e-13,1.8746912362397105e-06,3.5487675101080898e-06,1.0539301598251032e-08,5.344513395894811e-10,3.845214421131196e-08,1.8206047853453988e-07,3.101148236632586e-07,2.264630618247284e-08,7.475733610846458e-10,4.422363922426175e-10,1.2097763077015541e-11,0.00033042378235824437,6.385640110135594e-07,5.610603086734999e-05,3.97993212368352e-10,9.835637173035576e-11,2.346885887547923e-10,1.1861916672662465e-09,6.809059124735958e-08,1.997960209752711e-08,7.1335239653818826e-09,6.021622265102473e-08,1.9048420418772854e-09,8.938449704587667e-10,7.825864390072328e-05,7.04093994497875e-09,2.2698043690640043e-07,4.141878629204681e-10,3.6842897808886145e-07,6.339674682978155e-12,0.00011008866503751347,1.0663573560118545e-07,2.113745310369571e-07,6.5179511412947225e-09,1.7195787222042213e-05,2.5878802588303935e-07,4.821688769184898e-07,0.0007147070639655827,6.554759058787236e-07,0.00018037096778831917,5.795216445825433e-10,1.1942876166745996e-07,4.2811142606699304e-08,6.730422145060468e-07,0.00021083086479776244,5.635913357766758e-12,2.8145333838267877e-05,4.939049759270346e-08,3.167813770625933e-11,5.1004555213226396e-08,2.0355472616788934e-12,1.614759548356316e-05,0.000193964641713112,1.467980714689102e-10,1.0140634715045529e-06,3.1465388584925256e-10,1.4572452922835772e-05,6.567383082110033e-08,1.0290043554578423e-09,1.0914865407157775e-08,1.6654770922450864e-07,1.3094421158290604e-05,3.1728479414843314e-06,0.0007398120711992007,4.478476951769839e-11,1.155376093174704e-09,4.2334027154385677e-11,0.0004207762072519744,2.0846330296488272e-11,3.9410276254923094e-09,2.6551065399482596e-06,5.534513091165449e-12,2.274973394625781e-12,0.00013727741914524224,1.9417443732769474e-13,0.0038154585047778427,6.989825070344017e-07,4.689914844461377e-08,7.041832497415277e-11,0.00016286099784971922,0.13693440972591706,1.931022861395447e-05,2.357033445029121e-12,0.00015216844399143866,5.795523776577728e-06,1.1809774857226908e-06,2.620181775796187e-08,4.1277062049359915e-09,0.00010543632593979928,1.7636933393654117e-07,0.0028057320581006823,4.086116384359043e-08,4.7100469559274106e-05
19,2.594361287280875e-09,7.561171407464587e-10,2.613034853808467e-06,0.9991322790448558,1.0594831425974358e-11,9.282335883198521e-14,7.59631175009232e-08,1.351245704227938e-08,3.2486403735772917e-10,4.5442412466585335e-11,7.759953983801308e-08,3.5159925172195714e-09,5.214263739358191e-07,6.098487009822066e-10,1.189447728009314e-10,2.3355365873285786e-11,3.4654703162077688e-12,7.042944212418751e-07,1.94156087618891e-09,2.3256816351608046e-06,6.181988754604243e-10,7.258062034849056e-11,4.052162418469171e-11,1.5322972055054975e-09,3.370603719330983e-09,2.531447199009714e-09,2.5907786872488415e-10,6.021496534328794e-11,9.914387223640786e-10,2.2706503613159597e-09,5.65091968411734e-06,7.82312494119672e-09,8.651811270226978e-07,1.7547930167439125e-11,4.284406492472463e-09,5.871942060746859e-14,1.2025566035287873e-05,4.75133013284013e-09,1.3179813094425012e-07,6.980426879715199e-09,5.66600384992791e-08,2.539080866673551e-07,2.215329777291088e-08,2.1418091410904534e-06,1.6694216899299744e-08,0.00023949159100415657,2.077433022414506e-09,1.8622526846137053e-08,1.1757793682740007e-08,8.195904302031769e-10,5.284208620774303e-05,8.383786241727941e-12,2.698868656458235e-07,4.768347963218779e-08,3.3431219442560543e-10,1.7310626716407815e-07,6.437855060246069e-12,4.196279639730117e-09,2.8803641760572486e-07,2.0844123017472761e-10,6.767961791972942e-07,6.586695018728765e-11,4.451332631691062e-08,2.858179579558356e-10,5.260555448225552e-09,6.002897175803352e-08,5.903607384476461e-10,2.7891137626767957e-08,8.22970005416149e-06,6.5823446479874265e-06,4.050405268025932e-12,4.617109776834669e-11,1.097401836991881e-12,3.679270100884436e-07,7.108773534755824e-13,3.8340531567337055e-10,2.0290443726545074e-06,4.28063575881453e-13,6.438418493511254e-14,4.2685229797759443e-05,3.6931259189160027e-13,3.7985905175188476e-05,1.3730889769177181e-08,2.4091024015766516e-09,1.3073896355582118e-09,5.472123928755511e-05,6.223741477314547e-05,9.138703725431159e-07,1.5399695294503176e-13,2.2876188521383312e-07,1.4265489721145947e-07,3.9829233413894454e-08,1.922951077689601e-09,8.203069852396883e-10,0.00011275571604482542,2.780838111183612e-10,3.563768523900171e-05,8.183402603148556e-11,0.00018163504096443294
23,4.6703483171815894e-11,3.252386383227014e-12,4.6285534112313543e-08,2.923214420739651e-09,3.869685673568916e-10,0.00010349668561085543,1.298087025407877e-08,3.9271637487120794e-11,8.393064398990199e-13,4.333320681379066e-12,6.645537368732619e-10,8.423102640092849e-11,7.817260864798021e-11,9.249768099024184e-12,6.927148081974947e-12,0.001745380944985999,4.6945422419080723e-14,5.87687802905901e-11,5.081480253448996e-08,4.979634663903777e-11,2.493797583424684e-09,6.831325820557425e-08,2.551077199656145e-05,3.379389056501915e-07,1.6473470698334235e-07,7.116097404180873e-09,1.2794557834499113e-12,1.7483274458355173e-08,0.9927588035617816,0.004929641524065263,0.000416867497984914,5.965089120764596e-10,8.054134258765919e-09,1.5737908804356516e-09,2.2962971191035886e-07,2.073922581791673e-08,5.4891416847703194e-08,1.7150627682740076e-09,1.4365427855131602e-08,3.7171215495949657e-10,5.9197830071129e-10,1.9059513545605255e-15,5.646345903134665e-07,3.7620037167152005e-10,7.297360042937337e-09,9.78156779077395e-12,3.0916156463068297e-10,3.205474374100411e-12,3.9936373923075695e-13,4.003737227158265e-11,2.057366684738994e-11,9.015165462426215e-10,2.7669138603947054e-10,1.609049712997299e-09,3.2153974906461654e-09,1.2725482143918902e-05,2.6116829218436592e-08,1.2813840514426837e-08,1.3553143502430973e-12,3.440811534756465e-10,3.7076409838904683e-09,3.364343019751926e-08,3.7706391830415096e-08,1.0138987095415422e-09,1.2289690812790709e-08,7.297170677289706e-10,1.097010217180841e-07,6.807568716435773e-08,5.394756933368796e-09,2.2669003075727694e-08,4.398848909657384e-06,3.408392735027486e-07,5.111355031315587e-10,2.4783574681049767e-07,4.9710196212718864e-11,2.355448961167816e-10,1.732087074185424e-09,5.3271964236490975e-12,6.3558864249366406e-12,2.484480867056062e-07,2.2659520086556741e-07,8.233459032718526e-09,7.045706155389478e-10,4.21573753867399e-11,2.752321061146801e-11,1.6716040079932037e-12,2.908882503799006e-10,4.608218604234916e-08,2.9098355358871103e-09,2.5548939447919045e-11,6.086525412773585e-10,1.0347311171752665e-08,2.993282834846298e-10,1.466038444816547e-10,3.542521679229077e-14,5.601937653034868e-14,4.943876212692169e-09,4.1509696108869607e-13,7.581079639693623e-08
24,1.3037033214966898e-07,2.3266936883904303e-08,8.754368914643052e-11,1.0993191474729432e-13,3.788064772855982e-12,4.470573502025262e-12,1.520307877567644e-11,3.9491918054513984e-12,7.868741543952428e-07,2.514456470419538e-09,1.8240445051056501e-10,3.6062351573014425e-11,3.103272075283551e-11,6.222961936903845e-12,1.9013296081674017e-11,5.4889491195091e-13,3.031084049271161e-08,3.3894488007586336e-11,1.6862053354136448e-12,6.608953216901811e-12,1.5584702895516102e-07,7.258505289259779e-12,8.315952455322305e-16,1.2987923738364444e-12,2.688188719223083e-15,3.408182494610182e-13,2.4104002705561867e-10,8.43800477489566e-15,4.298160762208224e-15,2.0810058865852415e-12,1.3318472211299553e-14,4.929111478556254e-07,9.732759276799809e-09,3.778838159146142e-10,9.910786574844075e-12,1.546132905636427e-13,3.676900140811892e-11,2.3206954770925018e-10,6.201177657149175e-11,5.013866517143553e-09,2.798138754574832e-12,2.484841554975244e-10,1.2110639594322124e-12,1.1781405587927428e-14,4.340526261430158e-12,2.5681138852918084e-08,4.226712588132559e-11,3.923301712088409e-12,3.936397566104267e-12,6.912444862664665e-12,1.702161339629166e-11,4.367673531033703e-09,9.61340543585826e-15,1.7946493565223913e-13,5.417367287822465e-10,4.167626540364255e-10,3.3000993752807415e-13,3.9073375396141555e-13,3.7370543738038795e-11,8.619284366760252e-10,5.776598714437957e-13,6.971720508427058e-13,1.2379962167654597e-13,7.121943509217867e-14,1.5268480732914623e-10,1.8507834756480534e-10,2.258516318550496e-15,1.5605376442689757e-13,4.061180256434296e-10,1.0262111955804958e-10,2.611558341730858e-14,4.032246048849607e-14,1.7578765839968546e-12,7.729506974215836e-14,5.55212928434841e-10,5.076610002990482e-11,3.0905215505170615e-12,6.155982852399403e-13,3.653912892225819e-11,1.4787606123155348e-10,1.2287902402966216e-11,6.473562152590893e-13,1.4303198536022665e-11,6.392539633045153e-10,0.9999983261250401,6.3262540328877366e-12,7.920100362142305e-16,5.91387835547282e-13,1.3212562962706593e-12,2.259365352961274e-11,1.5136130388639574e-12,4.500925549759092e-13,8.520048406533856e-15,4.966305325505004e-12,1.0277429378247107e-09,1.4866508308160725e-11,1.9763509139880689e-13,2.307161045430487e-14,3.9588262899722326e-13
28,0.00012125967111782559,1.208111302131092e-05,7.485927908613738e-10,7.508752141862712e-09,1.4100173208635473e-09,5.624972568990216e-12,3.0758258425274986e-08,1.903276834403785e-05,0.9990066138820008,1.8668997879322903e-09,2.6136697105494696e-07,4.470896512552334e-06,0.0001314387340694084,0.00010920308072431337,8.401331607212e-05,1.1514238690557113e-10,1.2219532146010493e-06,2.8301445571672974e-05,1.3678946205113416e-09,5.680152837505138e-07,3.976484048391218e-06,8.516818440977066e-13,2.4164115653572514e-12,6.086415471629057e-12,3.459145657732475e-13,4.438525374572369e-13,1.0784537153249504e-07,3.261181537777743e-14,1.0261654100445568e-13,2.9485874031136986e-12,1.7588544208589227e-11,2.8553024404718503e-09,1.7456802803661305e-07,2.8633561885427865e-08,5.236615358488904e-13,4.5069263271324175e-10,6.816156045197203e-11,6.835498851631892e-10,3.281444436376378e-11,1.4968607612193773e-10,1.4877122371394893e-11,3.032334655376913e-07,3.62761804319015e-12,3.618952078354506e-12,7.697564943242967e-09,4.246871779308577e-08,4.764978878639984e-09,2.2775485742548366e-09,9.492397717598139e-07,1.5045314923896867e-06,4.309696567819731e-11,2.5645970107030072e-11,6.97629768749681e-10,3.904369349577477e-09,5.14048042364709e-10,9.79496596407992e-09,7.784236747480823e-11,4.828215482525002e-11,2.706577856183853e-10,2.682372696844936e-10,2.5657400031732778e-11,1.2179051619973583e-14,2.1849805518526056e-08,3.047322570129879e-11,2.6301822424479142e-08,1.3966728437820284e-06,2.186338726110417e-12,6.961799936190192e-13,1.1666146611624829e-09,3.359109170952686e-10,6.184239664211921e-12,1.1914387877828675e-11,4.360896063925009e-13,3.926998406703561e-09,6.288205402055558e-10,4.813865710493718e-10,8.324064644994881e-12,2.054206334891745e-11,5.682476790868897e-11,9.154097878285707e-09,6.209603715373669e-10,1.0132516737721604e-10,8.468354300243466e-09,1.6256325216252777e-08,1.149962120468159e-06,3.977223269347941e-07,2.3417262943871972e-08,1.1861222704836161e-11,4.3917424799554274e-11,2.8195531741918884e-06,2.786566596617305e-10,3.292375058019199e-07,4.804153121915288e-11,1.4768675333762504e-06,0.0004655929832780088,8.411677960036623e-07,6.504379030984099e-11,6.817070255618526e-11,2.507377121719753e-07
