id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,5.0802396338800455e-15,5.770726864495262e-14,4.968616261938734e-18,1.8100492571369403e-12,2.2007627354452513e-13,1.6645237589740647e-13,1.8777368322422592e-19,6.805569405922696e-20,5.979558143353424e-15,3.7218178307687353e-09,2.6542800919145154e-10,3.910319248071363e-23,7.203376654201712e-18,1.6393803259053315e-17,1.5316808587752125e-10,4.277480189501199e-14,9.103736809450234e-08,1.8212367194998173e-22,4.5034708407043123e-14,5.624788294350727e-18,5.7672113893710314e-11,2.1576005715809624e-12,2.9517707961303077e-10,6.71379169912358e-18,5.382791149887023e-19,9.800052075571765e-18,1.1544086404485412e-05,7.747950315658521e-12,2.2781653489869832e-15,1.0870344607001332e-18,7.161929311051301e-29,2.167515575490696e-07,2.154339900561091e-09,5.131483931488288e-09,4.1051925259870203e-16,6.689784911315114e-11,4.3118922991355983e-13,4.508801472539695e-25,2.25008275483423e-14,6.461367710330584e-15,5.830040126683087e-25,5.828744475673458e-12,1.928463995941647e-15,4.030625724244427e-18,4.1938819357709205e-13,1.4645219658941256e-14,5.14458177939248e-07,2.427926240843866e-27,2.2167420948872016e-17,1.0064312630828832e-13,7.066797463163701e-11,0.9999852617558113,1.1731777605453355e-17,3.2400592945277323e-09,7.951601327108097e-12,5.273686216032432e-08,1.4830089992052418e-07,1.4300416850713814e-28,6.210746369308643e-25,1.0561644715496275e-13,1.0087596222918284e-13,7.186860485048493e-14,7.057229251306596e-15,3.98417327862488e-16,4.728065159398351e-08,3.097254829885287e-12,5.780210401071404e-12,9.880292401849971e-26,9.490953963851587e-17,1.373389697447451e-14,1.0429636698368759e-16,5.084642665817012e-20,1.7622920127012854e-08,2.086781253885119e-25,1.7393002291199722e-07,2.4525495886035445e-08,2.2760838093822517e-22,9.664519423906175e-14,6.934207921981284e-07,7.843809248773415e-16,2.8831371614089673e-11,2.8310031471293325e-20,1.253591189340801e-24,9.308639321913618e-07,2.454338158142966e-07,7.65843870025466e-22,2.940154453499173e-23,1.1772021558745565e-25,1.8177151957895402e-08,1.1048774823134136e-23,3.597187613311397e-15,1.2997551617515402e-13,3.2325217096636716e-16,8.291548422263031e-14,4.827850050505796e-17,1.985798020031416e-20,4.455001736810922e-22,4.3960624885143815e-09,1.7322830465120586e-17
7,5.4918095211065856e-12,6.936881735678645e-11,9.286828774279626e-08,1.8012217055486108e-06,6.607370791830821e-12,3.784866646288856e-10,9.091697513372568e-06,5.413265011080927e-14,3.566592951503228e-09,1.4539407771638708e-11,6.211919032504531e-15,4.841529488610631e-15,7.164092854134297e-14,3.18194603464504e-16,1.6254168676072458e-10,8.101185235722827e-11,6.006837440602352e-13,1.483357781966443e-09,3.4931572104923664e-13,1.6044810449669024e-07,9.618153580419828e-11,1.867596367956543e-12,1.5036296102717514e-10,1.6862928176303762e-13,9.594021666737411e-12,9.463104842992658e-12,3.3389248619287445e-09,3.0862619352629083e-09,1.1350382307748038e-10,1.8603452921918858e-14,1.4441316766428763e-11,2.2138003765256375e-10,5.807630125653218e-10,5.964025993568429e-13,2.1348740486157248e-08,1.848958746855258e-14,2.3477311273518102e-05,7.038163320849067e-12,4.610959301247587e-09,5.242533960946425e-06,1.638917104689498e-08,6.5078837805735695e-09,8.790886263123095e-08,2.150273439191615e-08,2.2161894836607363e-12,2.4633650033783728e-06,4.675446150376048e-15,1.9259908323355448e-05,3.4097369798930023e-10,1.1932024661706395e-15,0.9999331855556343,1.0327542332626696e-11,2.3695366055046488e-12,8.1266186293523e-12,5.970350347773691e-11,1.0396427466126563e-07,2.3450283161500095e-13,6.608876680126634e-12,2.0309827303343855e-08,4.813583516659692e-08,1.899790660049349e-08,9.389437650830948e-11,1.0868053342813668e-12,1.400863074405355e-07,1.9304580885763816e-16,5.328486345654756e-13,1.0142960092006719e-11,5.88760447195915e-11,1.7322090907029824e-09,1.6430384133539167e-06,3.5988119457526977e-16,9.156097663291812e-15,2.2807116006048354e-12,3.093088067267934e-13,7.369042957028936e-19,4.633253541271215e-13,3.5615515136603055e-08,1.796346295591303e-11,1.9947223398056228e-10,8.507148423223066e-10,5.8092948024912934e-11,4.189146295785251e-09,1.1588035491446962e-06,7.315682544882477e-09,4.4576940411182567e-07,6.51094223725681e-09,1.6058268379663015e-10,4.097025797505622e-07,7.397347537408486e-19,2.8064350517811165e-09,2.7341653434856367e-09,1.040335261290429e-13,6.516185156715519e-15,5.389065583812756e-18,9.206422411530042e-07,3.2031135905672576e-11,8.113673254524018e-08,7.253589117444817e-14,1.3801712695763328e-11
9,3.652888101066207e-09,0.9997118604758153,2.0295709839151028e-10,1.0399637938926945e-08,5.5816783721772906e-05,6.949887406904286e-08,1.5395588714442265e-10,3.788631179598165e-07,2.1387250550167164e-08,1.6020969439308703e-07,1.0676509840456115e-09,2.9708753162017324e-07,2.9729018831815408e-08,1.8122543195795905e-11,3.2982035337785095e-07,6.933319833170034e-07,0.00014479845191986635,4.0939051263123114e-13,6.319786984734036e-10,3.267897556627926e-09,9.089981909345318e-11,3.2781090319098827e-09,4.525706531057741e-12,7.392887446491911e-14,9.969220329402371e-14,5.960641907808778e-07,1.6567034637950727e-07,3.4646467324114804e-16,5.403314137881348e-12,8.008605560571804e-11,8.547596229510465e-15,6.342566112921803e-12,2.8361331825207224e-07,1.7828785333211569e-09,2.913849601014881e-13,7.25891648466185e-07,3.157442551905788e-10,7.980967807901276e-14,4.481445348112683e-12,1.016547608141353e-07,1.52439683788483e-19,1.1941769356216254e-09,1.3793169437537097e-11,4.347737397993185e-12,2.0579407591746603e-08,6.904455444925407e-12,9.36296434266097e-11,1.2153221304107343e-12,6.351638106517494e-09,1.4007603230956855e-08,9.533739243267901e-09,1.2922397952919911e-12,2.3688379013771967e-10,5.815624505019013e-07,1.7772925744551105e-08,6.998483204013119e-10,4.6957622246805115e-06,6.763979855939256e-12,1.9596344719554302e-15,3.9659709796361474e-11,3.988899943173805e-08,9.793113054783977e-13,4.225267003282151e-08,1.7333959161440852e-08,4.3554415653468714e-10,8.201649011428135e-10,4.290837401478805e-07,2.6069327128305847e-12,5.482868815449406e-13,1.864634441407548e-08,3.9226623136141623e-10,9.188107613599221e-11,2.3854963929912822e-11,1.6303967275739313e-07,1.0384903183772443e-09,4.284174170892339e-09,2.8818814511409093e-12,1.2012131694191873e-06,8.916604542208382e-09,7.170973304265684e-12,2.522923279055437e-10,3.0058508770947988e-15,5.6048676204768564e-18,1.142504026881975e-08,5.073020301040433e-09,4.126454040736397e-09,1.967138324593629e-10,1.4910077060791412e-11,2.0927627546455442e-11,6.734402021408743e-10,1.4309360518458201e-12,2.821916026257648e-09,6.97715246442872e-11,1.4170800944247595e-10,7.183749133536707e-10,8.58247665822628e-08,1.1359801517912797e-12,1.444452516243374e-09,7.625835134432279e-05
12,4.8311870924155575e-06,0.0008098347740956386,3.5704562023278116e-06,3.666745294516607e-05,6.315918492849995e-07,6.22020232970586e-08,6.906976144673895e-05,3.8058945373179595e-05,0.0009349289604865695,1.7269593596529153e-07,2.1103305577350315e-09,0.0009104502273535232,0.01280976225851943,4.8662344560297756e-08,0.0021052821814947025,7.368586601765854e-05,1.0591881807429985e-06,0.0010726319583498737,9.54793581504695e-08,0.8844180433444025,1.471559245951151e-07,6.889676581547414e-10,1.4284461144445124e-09,7.418324874715915e-12,1.994654507753719e-08,3.709531198015178e-08,0.0015354470757909062,8.44779065096533e-09,5.94456193229771e-09,8.43447057059027e-10,9.788362478181653e-10,2.3135906479418372e-07,1.9879789342798647e-05,1.631422270031262e-07,3.9364386363504194e-07,7.104973929554572e-09,0.0003328454034194859,3.8712385833985055e-06,2.8998028993562385e-06,2.0361837984506925e-07,1.6986607758239578e-11,0.0005040830706013303,3.145576529899758e-07,2.687936551123616e-07,2.2618396894174025e-08,4.879093155989557e-05,1.8026781768154232e-10,0.0013062545774484942,0.00033251455563508396,3.9135103453930776e-05,2.3672735113576376e-06,9.21897010345807e-11,1.6199829570320296e-06,4.349493395719081e-08,9.33183309067201e-07,3.8469975404358747e-07,2.7296338115317944e-10,1.654898881974182e-05,4.902763244744775e-05,1.2512312440501554e-06,3.481048071369824e-06,1.641205646033875e-09,3.396384205652675e-05,2.3862722836488032e-05,1.4206131755225075e-11,4.593046873277787e-07,3.843824979717341e-08,1.197946017410378e-07,1.2912803624669997e-06,1.2947464607498624e-05,5.197068597638514e-10,4.8600829490736125e-09,3.6555202140212914e-11,1.0782971443171792e-05,1.6888944817200426e-12,9.30930867868739e-08,2.5852949955605085e-08,1.3970954011796327e-06,9.875820948942102e-09,2.669646931174297e-06,1.878139734282727e-08,1.3726720421605474e-08,8.510876934588759e-07,7.89298313160803e-07,5.715848766795365e-05,0.0024989515995911186,1.7363898120117237e-06,1.5624221832553233e-05,5.217891356096358e-13,0.0003799074320588733,1.1021612417618616e-08,2.964488575678556e-07,2.8653329739857307e-08,9.56406920165227e-10,0.0010146771634733196,0.0884410863396804,5.5153198506284696e-08,2.6190314801871237e-09,9.0258368636004e-06
13,3.858577800560156e-07,3.914921290365892e-07,2.890395437823915e-10,1.181917202727364e-08,1.9991994442500253e-07,5.202994134116645e-09,4.503047996570278e-09,5.265524001005561e-10,8.82050666642499e-06,4.738204515828242e-07,2.167025901642913e-08,1.4770454112994293e-05,8.35548525499363e-08,4.732543169380911e-07,0.9999617205729857,2.6650582228187345e-08,3.9304299075603834e-07,1.0314237715672578e-08,1.9579684139528867e-07,2.556500179099622e-08,7.096461265638541e-07,8.294013732934667e-11,5.210333977208988e-11,9.613486413753318e-12,6.311248170959879e-10,3.9003479609871765e-10,3.0715920613515204e-08,5.89735654128518e-13,3.2758985475058976e-09,1.9569962090319012e-11,1.0499898663777247e-12,6.78033808449054e-11,1.5099569785179843e-08,7.020506494789903e-09,4.235927561116204e-12,2.490505786887591e-07,2.2857044688083234e-09,1.9942559328264242e-13,2.631267534519295e-09,8.167195602034168e-11,6.123258545741386e-20,7.696973229551149e-09,2.822491965809667e-11,2.3216948191532723e-08,1.9678753488211454e-10,1.2151708479370664e-11,7.16688824348224e-10,1.3755694622925351e-09,5.510932453655358e-06,3.2915702834292977e-06,5.4470997990982944e-11,1.5293851601510012e-11,2.5232731390914625e-09,1.0495456960371272e-07,3.555682159865023e-08,1.0367085072564564e-09,1.644004742745498e-09,6.358210713410748e-13,3.349245127345119e-14,6.134235008677337e-10,7.141044589871894e-09,3.5686398047642433e-11,5.098941984302952e-09,2.80113838904883e-10,4.5257008747081734e-11,3.916911500782725e-09,5.703321647616092e-10,5.676499585306887e-15,1.165046339631292e-10,2.7723907768694087e-08,1.2333547175955959e-09,2.0688956382454583e-08,5.583441425716701e-13,1.180502763825431e-09,7.483017139810961e-09,9.113840241463638e-09,5.561948741551795e-14,1.51011847478075e-09,3.567122017552265e-09,3.855604562113494e-07,5.759607866918883e-08,1.4073666436505448e-14,1.2600251425248587e-14,2.4221206192043457e-08,6.659720481111614e-09,9.737043437415288e-11,5.815889986878628e-10,1.0497257029309426e-12,3.1026572104903716e-12,5.3439573258212614e-08,1.3971576700060914e-11,5.89093278719659e-07,1.3212938765438618e-09,9.882369790208555e-08,4.752771220920745e-11,9.331521872295109e-08,4.267564810916416e-11,1.5431567068204085e-08,5.660185799685782e-07
16,9.88739643972695e-05,8.185060201423829e-07,3.644374724888071e-05,0.9454961491579212,7.795596196168783e-08,2.643753579178239e-08,5.971991046006786e-05,1.2153546929906302e-07,3.691756750789481e-07,1.8555084288969065e-08,3.192613674552588e-07,3.010477614142684e-07,1.2526836442313367e-05,6.017836976387494e-09,0.0003883201081537953,4.090237246020467e-06,3.440456911348144e-07,1.5282482863648002e-05,1.1059183867443503e-05,0.025729701355921012,8.044925119146087e-07,5.919709375772632e-07,3.667669218828856e-07,1.298801566080238e-10,1.829825829281044e-05,6.422780839667153e-06,3.205608214337918e-05,1.8592005816206784e-06,2.1426764460403206e-07,7.760482404831235e-10,2.301245707280196e-06,1.3286595832213495e-05,3.110829646576899e-05,6.360848238334224e-08,0.00010032038552741083,3.652297171129207e-08,0.00029175847782395036,3.38290244166371e-07,5.512562561230044e-07,1.5557867537218997e-05,2.5004990253945266e-09,0.0003110435669533967,1.3823335952210357e-05,0.021803114620887076,2.42496369991904e-07,7.391014042935653e-05,1.2561495996237677e-08,5.2052464941079154e-06,2.4699714576692168e-06,9.832248059006372e-06,4.023250390413922e-05,1.8460925503436585e-08,0.00010299067858855209,8.873261335086891e-07,7.633141463924183e-08,6.731655911302089e-06,5.469855149916186e-09,3.398863403853862e-06,0.0003145999298636639,8.52727672211501e-06,6.789538969207617e-05,1.6113213643147582e-08,0.00011028508103820957,4.654398662337993e-05,1.999569362574143e-11,1.7696994710329621e-06,8.150236362753154e-07,2.444865316205831e-06,9.155911589309476e-05,0.0020060075321273125,1.115515121173398e-08,4.3081651470492474e-07,6.032682417072611e-09,1.0665722045661876e-05,1.589401684220062e-12,1.4542506597845076e-06,1.0828127706476798e-07,1.1799663335734795e-06,3.443171578983723e-09,3.7516178944348174e-05,1.5537012987129017e-09,2.2138051711705397e-05,8.055317594006837e-08,0.00010001879050900776,4.6975836057341396e-07,0.00016672790764810767,0.0008852838630847015,1.0483882560546847e-05,1.929823281764151e-12,0.0003682331122384681,2.761523328491417e-05,2.9265325989663e-06,6.96959048153758e-08,1.0964777343984607e-08,0.0006691664802404715,9.667652010594518e-06,0.00010121558893542758,3.6473481189267613e-06,0.0001858983729358102
19,1.3717163991599306e-06,1.7153392988424767e-07,8.103391822785045e-07,0.9996334301388323,2.1217890367073478e-10,3.4420800336934603e-10,1.7771995391525832e-07,1.695196336256313e-11,3.9319930946392867e-10,2.9440389005948364e-10,4.003718415826027e-08,1.1769356041635833e-10,1.4014380998046155e-05,8.651062158535032e-12,8.121472836271904e-08,1.7465660114571092e-08,5.364494395039553e-09,5.971448593316869e-10,1.5073294840157624e-08,1.6805227901989082e-06,7.058729252448703e-08,8.33438758497803e-09,8.222538611990817e-10,3.7209308001678454e-11,8.367309561033364e-08,1.4027914349647732e-07,6.0810797153305334e-09,4.986661048177426e-11,2.5600291880668256e-08,8.917258925499099e-13,2.289563090444367e-09,5.130473389542292e-08,1.5289626809269868e-06,7.712555513007755e-11,9.128501813557728e-08,1.5749218052267962e-10,1.019876149663468e-06,1.7317854586911473e-09,2.6762611438895664e-07,4.845457321076602e-06,3.6368470080285483e-13,1.577832529971397e-06,9.652913300016149e-08,2.7327666049591437e-05,1.0573284930994546e-09,3.78276330316502e-06,2.2730733211687615e-10,6.719526039724802e-09,1.0596551159860096e-08,1.6743129157565653e-09,3.200582404625376e-05,2.5060788204974203e-09,2.294498306493429e-08,2.4933617070136175e-08,5.162696922134183e-10,1.209761268956334e-07,1.6898049039019388e-09,7.373350165555388e-12,2.2223689504641465e-07,1.100681463414171e-07,2.414323974752601e-05,1.411762252905598e-10,7.605728518413212e-09,3.2301622926664022e-09,2.1509166230886474e-11,1.8134750542785455e-06,1.7706774883036599e-09,8.447860566807284e-10,7.4424012125763795e-06,5.167855692088063e-06,2.6816301808970446e-11,1.0736615428334578e-09,3.2942765939157744e-12,6.55760699572848e-09,1.3518405996827064e-14,1.0864515279654814e-08,4.923795194975882e-08,4.542785207533912e-08,9.087279456206877e-13,1.9413429711258376e-07,2.567865350923391e-11,2.3032448664978233e-07,1.0014063168892647e-10,1.5431325904580884e-08,8.995120627326933e-08,5.943483442255975e-06,8.639717017092849e-07,1.7880118589912034e-06,9.38450468433049e-16,8.697273324132086e-08,9.193762454893057e-07,7.630402024955314e-08,1.352697383528757e-09,1.8035022795260707e-11,0.00019496891869707518,6.150458404086481e-09,2.8965996657591406e-08,2.1973816284799673e-09,3.081203610654805e-05
23,4.3811613794963117e-13,1.1160092956417792e-07,1.4935127264621843e-07,3.6829577680777506e-08,8.74848927697823e-10,4.846685229917814e-05,4.3253420816585174e-07,8.430440836770806e-13,1.108191228352949e-14,4.662440197424748e-10,2.7301990893932618e-14,3.867682960040838e-10,1.4120956494542464e-10,1.7826703134219988e-13,4.388812698824137e-10,2.4912737140302436e-05,1.4966521905284583e-15,7.175587146588443e-12,1.405712205652561e-08,1.0114920227354979e-10,1.1804315554908497e-07,8.328711411788425e-11,9.247319402094686e-10,1.1580588825877668e-08,7.525989071246386e-08,1.576879762483298e-09,9.840881507537209e-10,5.953468118418843e-11,0.999528145534692,3.5661337378493038e-06,0.0003906352180038356,3.491315709001588e-14,5.312332681641607e-10,2.573192910318296e-11,1.1278909925771656e-09,3.0004874232290943e-09,2.624829845139738e-10,6.31833536676377e-10,1.1711496058818215e-09,5.52954166017631e-09,1.1289343275130724e-15,1.4984216673009916e-16,3.690849872954233e-07,1.0263317742817578e-10,7.70176989434897e-14,7.703363473176567e-13,3.297273303473795e-13,3.921766748806745e-14,7.865858888445457e-14,8.757649943404318e-12,1.3938112938467688e-09,2.2982936209257934e-11,5.727357479157412e-11,3.440759033080086e-10,9.96037923764286e-10,2.44195005981527e-07,7.714284864246854e-09,2.6482240180257746e-13,4.8501297501815885e-15,3.657843518473567e-11,6.982427000426049e-09,1.4519710602385745e-06,1.1030367806852744e-10,7.793411133486371e-11,1.3739855436441222e-14,2.7715808089827025e-10,6.731487590890194e-07,1.8579570135834288e-11,1.035373875218416e-11,7.099478434563265e-08,9.636186692637343e-08,7.795245184253391e-09,4.592909083255899e-11,5.5882145639817964e-08,2.3848831898721315e-16,3.0385494324525983e-12,2.0575470265048725e-07,3.5206807909179484e-11,1.5117975575355305e-13,8.857412858241086e-09,3.8268525810696313e-08,1.778250206507893e-09,3.806002966677766e-14,2.5343506861503913e-15,1.2584768144371904e-09,5.868940370102606e-13,3.8874282402263904e-11,2.4488914094840695e-08,2.837473880308512e-13,8.1044883377798e-12,1.3944255260602725e-11,7.169912818240648e-11,8.547367188977595e-13,1.2322355645292722e-12,1.0249673956862801e-16,7.219531206094476e-15,1.218269415876666e-08,8.993507683579632e-13,2.554224215697236e-08
24,3.093389646838685e-09,1.4241989054420183e-09,2.104282433140795e-09,6.509307089996144e-11,7.446592044259216e-11,4.810829187982827e-09,8.373448537403408e-11,3.419719813753468e-13,7.598545969324381e-07,2.8956243380335877e-09,1.123753891688205e-10,1.2987090802903242e-15,4.304598690452501e-11,2.0534976075572087e-13,1.4892201838410325e-09,2.776067838845814e-10,1.013645989554316e-09,4.8769929797385116e-11,4.769711699277499e-13,1.4950908498378942e-10,9.503253830312025e-08,1.6195332953635034e-11,2.0485900879776668e-13,3.137205400392981e-14,1.4153696326331848e-15,5.4152513224245935e-15,6.31294710117389e-06,3.3197132245078976e-11,1.560101287146052e-14,2.2443926539293427e-15,4.851386777484009e-18,1.1139006125058995e-07,6.425393276962478e-08,4.235786832816669e-10,7.296334972664431e-12,9.804449843124828e-13,4.380038089048317e-08,4.7591899217838555e-11,7.202850029162796e-11,8.672706654523954e-08,2.480194435171723e-14,2.770251214855689e-10,5.530592042888819e-11,1.2254288282823323e-12,5.127645619920493e-09,4.6044280545179014e-08,1.4587943156072674e-13,1.9917697353890252e-15,3.3499068324602055e-13,3.875945514371965e-11,8.781397132183049e-11,1.929983623402904e-08,9.01092788933395e-15,1.5344589675038186e-15,1.6568947904667386e-10,4.899846021189064e-10,6.402689792890263e-13,3.864862309326696e-14,5.81044961227686e-12,8.353259495792645e-08,1.0726108259498971e-09,6.980981255619575e-11,4.3152245108794805e-13,1.4784757516648544e-10,5.125249196902017e-13,1.1835072073892776e-12,3.0195508266720067e-12,4.9793288341866766e-17,3.376560928360004e-09,4.62632059524928e-08,6.657939846777661e-14,5.159493727584093e-15,9.180715222222991e-12,1.190222393956284e-15,9.583512567441135e-12,6.781192460462853e-11,7.997313975172664e-12,1.9759436079883897e-07,1.211776469689577e-08,3.942775600369965e-10,5.65836157901369e-11,4.762321245783754e-14,2.908008972896843e-11,9.913427581899677e-09,0.9999918408480208,4.862361981221655e-12,6.821951565266717e-17,2.2222035718533124e-14,5.3693339232356614e-14,8.245533441201568e-11,1.019369320752979e-13,4.484695186156964e-12,4.769210701201367e-13,2.10676266611042e-15,2.38734941470132e-07,1.7600784011078456e-09,1.7858881851461845e-14,8.131189768287943e-12,1.8729605650243828e-13
28,2.052168214013732e-05,2.989548712538941e-05,8.743331504671634e-09,4.2875581869083955e-07,3.7741370778138037e-07,8.438789956433944e-09,1.652690043518026e-07,0.0012984068292800513,0.9980066993161146,1.7461404691853871e-07,1.13830527270977e-06,2.758420738594344e-05,3.608244159643201e-05,9.49007250916605e-08,1.1488339220296085e-05,3.462498013357236e-07,4.493032019349712e-06,1.602897970050465e-05,4.4623789317435356e-07,9.188078365590275e-06,2.974532752028269e-07,7.921880132905457e-11,1.7843663791907696e-10,3.1663448917848184e-13,1.4361204244426853e-10,1.0482720645574857e-10,4.049447631719212e-06,2.505345145926511e-12,3.4584110831680083e-10,1.343626612525452e-10,2.3709079328612306e-12,1.910301677802485e-09,7.624214897663465e-07,3.191214446554629e-07,2.3740168980599793e-10,2.5450517172253147e-07,5.152521865608916e-09,4.3192669324715784e-10,1.1332961122154641e-09,2.846204093662454e-10,6.016943765599578e-17,1.1126501680300459e-07,2.073999274949658e-09,1.0572121459731525e-10,3.833541041783936e-07,5.004574515381327e-10,1.5962342770055723e-10,2.0069055864576595e-09,9.82338023487196e-07,1.1045202654559605e-07,4.667124694403124e-09,1.3214803861882341e-11,4.0098868209326776e-09,2.911161622386699e-08,1.911082523620077e-07,3.425223388567727e-07,2.508225033100917e-09,5.723999271199221e-11,5.159254609005521e-10,2.6287472515014647e-08,6.725372946395254e-08,2.539626366482756e-10,4.2255753128619275e-08,9.206231208318248e-09,4.808848619734987e-09,1.3304042951658787e-08,1.4239402062458094e-09,5.99331155044586e-14,4.5951070950315225e-09,2.2678881076304082e-07,2.547017932782027e-10,4.362537171323157e-12,3.6226092443625852e-12,2.94554724526597e-07,6.0084939431360224e-09,5.946338160082287e-08,1.6641671350372954e-12,3.4473270068075e-09,3.234949620581135e-08,1.7245793379311238e-08,3.713027040583612e-07,8.212161669183046e-11,5.191470402608504e-12,4.858385983735723e-06,1.117395826280516e-05,2.4965076251335207e-07,2.7194985625773117e-07,4.421670608121361e-11,1.3402483591273398e-12,8.880787393447158e-07,3.684028868799072e-09,1.1686613584933623e-06,4.9868357616037485e-08,7.093788167462803e-07,0.00042601250605054216,8.169831291482237e-05,6.933379144798269e-13,8.481749821704026e-10,2.965872843690169e-07
